PacketSize,Latency(ms),Throughput(Mbps)
64,0.07,6.80
74,0.06,9.84
84,0.07,9.42
94,0.07,10.30
104,0.07,11.53
114,0.07,12.22
124,0.07,14.18
134,0.07,15.32
144,0.07,16.50
154,0.07,16.71
164,0.07,17.16
174,0.07,18.26
184,0.07,19.45
194,0.07,20.90
204,0.07,22.21
214,0.08,20.27
224,0.07,24.33
234,0.07,24.03
244,0.07,25.47
254,0.07,27.08
264,0.07,30.28
274,0.07,31.64
284,0.05,39.60
294,0.07,31.96
304,0.06,41.36
314,0.07,33.22
324,0.07,35.26
334,0.07,35.84
344,0.07,39.27
354,0.07,39.56
364,0.07,41.41
374,0.07,42.60
384,0.06,45.65
394,0.07,40.91
404,0.07,43.70
414,0.07,45.06
424,0.07,43.92
434,0.07,46.88
444,0.07,48.40
454,0.07,49.43
464,0.07,49.55
474,0.07,50.23
484,0.07,52.65
494,0.07,56.67
504,0.07,55.61
514,0.07,55.70
524,0.07,56.63
534,0.07,59.05
544,0.07,59.27
554,0.07,59.36
564,0.07,62.15
574,0.07,62.37
584,0.07,65.35
594,0.07,66.07
604,0.07,64.52
614,0.07,65.17
624,0.07,66.61
634,0.07,66.71
644,0.06,78.30
654,0.07,68.98
664,0.07,71.96
674,0.07,73.49
684,0.07,74.85
694,0.07,72.56
704,0.07,79.41
714,0.07,78.13
724,0.08,72.09
734,0.07,77.83
744,0.07,79.59
754,0.07,80.65
764,0.07,81.64
774,0.07,86.57
784,0.07,87.63
794,0.07,86.05
804,0.07,87.74
814,0.07,88.90
824,0.07,90.04
834,0.07,89.44
844,0.07,91.36
854,0.07,94.92
864,0.07,91.94
874,0.07,100.18
884,0.07,93.05
894,0.07,96.09
904,0.07,98.49
914,0.07,97.41
924,0.07,99.73
934,0.07,104.48
944,0.07,103.52
954,0.07,105.15
964,0.07,102.01
974,0.07,100.66
984,0.07,106.20
994,0.07,104.37
1004,0.07,108.48
1014,0.07,106.28
1024,0.06,124.13
1034,0.06,122.76
1044,0.07,120.08
1054,0.07,118.50
1064,0.07,116.73
1074,0.07,115.31
1084,0.07,115.68
1094,0.07,123.27
1104,0.07,116.82
1114,0.07,122.17
1124,0.07,124.16
1134,0.07,128.33
1144,0.07,129.09
1154,0.07,126.64
1164,0.06,139.15
1174,0.06,162.82
1184,0.05,168.22
1194,0.06,163.28
1204,0.06,149.63
1214,0.05,169.57
1224,0.05,172.26
1234,0.07,139.04
1244,0.07,134.89
1254,0.07,137.44
1264,0.07,142.64
1274,0.07,143.85
1284,0.07,141.71
1294,0.06,165.59
1304,0.06,168.82
1314,0.07,151.55
1324,0.07,155.26
1334,0.07,150.07
1344,0.07,147.31
1354,0.07,156.26
1364,0.07,152.34
1374,0.07,157.30
1384,0.07,155.99
1394,0.07,163.47
1404,0.07,156.26
1414,0.07,163.63
1424,0.07,162.15
1434,0.07,166.60
1444,0.07,166.90
1454,0.07,170.45
1464,0.07,166.09
1474,0.07,164.68
