PacketSize,Latency(ms),Throughput(Mbps)
64,0.15,3.31
74,0.15,3.69
84,0.12,5.26
94,0.08,8.96
104,0.10,8.28
114,0.10,8.39
124,0.08,11.62
134,0.08,12.49
144,0.08,13.90
154,0.06,19.01
164,0.07,18.95
174,0.12,10.96
184,0.15,9.21
194,0.14,10.73
204,0.08,20.27
214,0.10,16.67
224,0.11,16.13
234,0.11,16.20
244,0.11,17.23
254,0.11,17.22
264,0.10,20.90
274,0.11,18.74
284,0.10,20.93
294,0.09,23.79
304,0.13,17.32
314,0.10,23.14
324,0.13,18.89
334,0.10,25.38
344,0.09,29.28
354,0.11,23.98
364,0.09,29.79
374,0.10,29.89
384,0.14,20.61
394,0.16,19.35
404,0.14,22.39
414,0.14,22.21
424,0.15,21.31
434,0.17,19.35
444,0.10,33.03
454,0.11,32.82
464,0.10,37.08
474,0.06,57.60
484,0.14,27.07
494,0.12,31.90
504,0.09,42.16
514,0.09,45.24
524,0.11,36.68
534,0.14,28.26
544,0.12,36.02
554,0.13,32.93
564,0.14,31.33
574,0.10,43.45
584,0.09,51.28
594,0.11,42.98
604,0.11,40.32
614,0.11,43.07
624,0.11,42.73
634,0.13,37.46
644,0.08,58.37
654,0.14,36.71
664,0.13,38.03
674,0.15,33.20
684,0.13,39.17
694,0.09,57.90
704,0.11,51.09
714,0.13,42.74
724,0.10,53.00
734,0.10,58.18
744,0.13,42.75
754,0.10,56.68
764,0.10,60.45
774,0.10,56.61
784,0.08,74.66
794,0.11,55.16
804,0.14,45.07
814,0.11,57.55
824,0.10,66.15
834,0.11,59.00
844,0.08,80.27
854,0.10,66.40
864,0.11,59.17
874,0.12,54.12
884,0.11,63.13
894,0.13,50.65
904,0.08,91.50
914,0.10,68.33
924,0.11,63.40
934,0.10,68.53
944,0.07,102.26
954,0.15,47.39
964,0.13,56.28
974,0.13,56.10
984,0.09,81.84
994,0.09,83.32
1004,0.09,84.12
1014,0.12,66.96
1024,0.08,101.94
1034,0.07,106.87
1044,0.11,71.89
